Inner HTML: ""
Inner HTML: ""
Inner HTML: ""
Inner HTML: ""
Inner HTML: ""
,,,,
Name,Location,License Type,Priority/Expedited Status,Executive Summary
1Connection LLC,"200 Williams Street, Dighton, MA 02764",Retailer,General,1Connection LLC Executive Summary
"27 Broom Street, LLC","27 Broom Street, Plainfield, MA 01070","Cultivation, Tier 10 – Outdoor",Outdoor Cultivator,"27 Broom Street, LLC Executive Summary"
"27 Broom Street, LLC d/b/a High Plains Farm","27 Broom Street, Plainfield, MA 01070",Product Manufacturer,General,"27 Broom Street, LLC d/b/a High Plains Farm Executive Summary"
"202 Trading Company, LLC d/b/a Bud Barn","682 Spring Street, Winchendon, MA 01475",Retailer,General,"202 Trading Company, LLC d/b/a Bud Barn Executive Summary"
" 208 Worcester Street, LLC d/b/a Cady Brook Cannabis ","208 Worcester Street, Southbridge, MA 01550",Retailer,General,"208 Worcester Street, LLC d/b/a Cady Brook Cannabis Executive Summary"
"253 Organic, LLC","253 Miller Falls Road, Montague, MA 01376",Retailer,General,"253 Organic, LLC Executive Summary"
"253 Organic, LLC","253 Miller Falls Road, Montague, MA 01376",Product Manufacturer,General,"253 Organic, LLC Executive Summary"
"253 Organic, LLC","253 Miller Falls Road, Montague, MA 01376","Cultivation, Tier 4 – Indoor ",General,"253 Organic, LLC Executive Summary"
" 1620 Labs, LLC ","1 Exchange Street, Athol, MA 01331","Cultivation, Tier 1 – Indoor ",General," 1620 Labs, LLC Executive Summary"
" 6 Bricks, LLC   ","1860 Main Street, Springfield, MA 01103",Retailer,DBE," 6 Bricks, LLC Executive Summary"
"ACK Natural, Inc.","17-19 Spearhead Drive, Nantucket, MA 02254","Cultivation, Tier 1 – Indoor ",General,"ACK Natural, Inc. Executive Summary"
"ACK Natural, Inc.","17-19 Spearhead Drive, Nantucket, MA 02254",Product Manufacturer,General,"ACK Natural, Inc. Executive Summary"
"ACK Natural, Inc.","17-19 Spearhead Drive, Nantucket, MA 02254",Retailer,General,"ACK Natural, Inc. Executive Summary"
"Alexsofia, LLC d/b/a Honey","41 Strong Avenue, Northampton, MA 01060",Retailer,General,"Alexsofia, LLC d/b/a Honey Executive Summary"
Alternative Therapies Group ,"10 Industrial Way, Amesbury, MA 01913 ",Product Manufacturer,MTC,Alternative Therapies Group Executive Summary
Alternative Therapies Group ,"10 Industrial Way, Amesbury, MA 01913 ","Cultivation, Tier 5 – Indoor",MTC,Alternative Therapies Group Executive Summary
Alternative Therapies Group ,"50 Grove Street, Salem, MA 01970 ",Retailer,MTC,Alternative Therapies Group Executive Summary
Alternative Therapies Group ,"107 Elm Street, Salisbury, MA 01952",Retailer,MTC,Alternative Therapies Group Executive Summary
Alternative Therapies Group ,"49 Macy Street, Amesbury, MA 01913",Retailer,MTC,Alternative Therapies Group Executive Summary
"Analytics Lab, LLC","28C Appleton Street, Holyoke, MA 01045",Independent Testing Laboratory,DBE,"Analytics Lab, LLC Executive Summary"
"Apical, Inc. d/b/a EMBR","144 King Street, Northampton, MA 01060",Retailer,General,"Apical, Inc. d/b/a Fyre Ants Executive Summary"
"Apical, Inc. d/b/a Fyre Ants","102 Northampton Street, Easthampton, MA 01027",Retailer,MTC,"Apical, Inc. d/b/a Fyre Ants Executive Summary"
"Apothca, Inc.","1386 Massachusetts Avenue, Arlington, MA 02476",Retailer,MTC,"Apothca, Inc. Executive Summary"
"Apothca, Inc.","54A Hyde Park Avenue, Boston, MA 02130",Retailer,MTC,"Apothca, Inc. Executive Summary"
"Apothca, Inc.","487-491 Lynnway, Lynn, MA 01905",Retailer,MTC,"Apothca, Inc. Executive Summary"
"Apotho Therapeutics Plainville, LLC","119 Washington Street, Plainville, MA 02762",Retailer,General,"Apotho Therapeutics Plainville, LLC Executive Summary"
"ARL Healthcare, Inc. d/b/a Panacea","29 Harding Street, Middleboro, MA 02346
",Retailer,MTC,"ARL Healthcare, Inc. d/b/a Panacea Executive Summary"
